id|name|description|comics|series|stories|events
1011334|3-D Man||12|3|21|1
1017100|A-Bomb (HAS)|Rick Jones has been Hulk's best bud since day one, but now he's more than a friend...he's a teammate! Transformed by a Gamma energy explosion, A-Bomb's thick, armored skin is just as strong and powerful as it is blue. And when he curls into action, he uses it like a giant bowling ball of destruction! |4|2|7|0
1009144|A.I.M.|AIM is a terrorist organization bent on destroying the world.|53|36|57|0
1010699|Aaron Stack||14|3|27|0
1009146|Abomination (Emil Blonsky)|Formerly known as Emil Blonsky, a spy of Soviet Yugoslavian origin working for the KGB, the Abomination gained his powers after receiving a dose of gamma radiation similar to that which transformed Bruce Banner into the incredible Hulk.|55|27|65|1
1016823|Abomination (Ultimate)||2|2|3|0
1009148|Absorbing Man||96|48|109|4
1009149|Abyss||8|3|8|1
1010903|Abyss (Age of Apocalypse)||3|3|2|1
1011266|Adam Destine||0|0|0|0
1010354|Adam Warlock|Adam Warlock is an artificially created human who was born in a cocoon at a scientific complex called The Beehive.|188|82|217|8
1010846|Aegis (Trey Rollins)||0|0|0|0
1017851|Aero (Aero)||29|5|29|0
1012717|Agatha Harkness||20|9|25|0
1011297|Agent Brand||30|7|34|0
1011031|Agent X (Nijo)|Originally a partner of the mind-altering assassin Black Swan, Nijo spied on Deadpool as part of the Swan's plan to exact revenge for Deadpool falsely taking credit for the Swan's assassination of the Four Winds crime family, which included Nijo's brother.|18|3|23|0
1009150|Agent Zero||29|10|31|0
1011198|Agents of Atlas||45|13|52|1
1011175|Aginar||0|0|0|0
1011136|Air-Walker (Gabriel Lan)||4|3|3|1
1011176|Ajak||4|1|8|1
1010870|Ajaxis||0|0|0|0
1011194|Akemi||0|0|0|0
1011170|Alain||0|0|0|0
1009240|Albert Cleary||0|0|0|0
1011120|Albion||1|1|1|0
1010836|Alex Power||18|6|25|0
1010755|Alex Wilder|Despite being the only one of the Runaways without any superhuman abilities or tech, Alex Wilder became the de facto leader of the group due to his natural leadership skills and intellect, as well as prodigy-level logic and strategy.|9|4|9|0
1011214|Alexa Mendez||0|0|0|0
1009497|Alexander Pierce||1|1|1|0
1014990|Alice||0|0|0|0
1009435|Alicia Masters||60|20|84|2
1010370|Alpha Flight||208|40|378|7
1011324|Alpha Flight (Ultimate)||2|1|4|0
1011164|Alvin Maker||0|0|0|0
1011227|Amadeus Cho||149|34|176|5
1009567|Amanda Sefton||0|0|0|0
1011382|Amazoness||0|0|0|0
1011361|American Eagle (Jason Strongbow)||6|2|6|0
1009151|Amiko||12|3|12|1
1010672|Amora||8|3|8|0
1010673|Amphibian (Earth-712)||4|3|3|0
1010905|Amun|Amun is a ruthless teenage assassin, employed by the Sisterhood of the Wasp to serve under the mage Vincent after Araña interrupted the ritual to initiate the Wasp's new chosen one.|0|0|0|0
1009152|Ancient One||30|11|34|2
1016824|Ancient One (Ultimate)||2|2|1|0
1011684|Angel (Angel Salvadore)|Driven out of home by her abusive step-father, fourteen-year old Angel Salvadore slept in the woods, where her mutant nature manifested itself in the form of a protective cocoon.|5|4|3|0
1011396|Angel (Thomas Halloway)||10|5|9|0
1011338|Angel (Ultimate)||19|3|32|0
1009153|Angel (Warren Worthington III)||115|45|121|5
1017574|Angela (Aldrif Odinsdottir)||37|15|37|1
1010674|Anita Blake||9|1|49|0
1009346|Anne Marie Hoag||0|0|0|0
1009154|Annihilus||66|31|83|1
1011301|Anole||5|4|5|0
1010802|Ant-Man (Eric O'Grady)||45|14|44|7
1009155|Ant-Man (Hank Pym)||42|28|45|1
1010801|Ant-Man (Scott Lang)||137|58|159|2
1011208|Anthem||11|2|20|1
1009156|Apocalypse||127|59|127|6
1011253|Apocalypse (Ultimate)||3|1|6|0
1010866|Aqueduct||0|0|0|0
1010773|Arachne||6|2|8|1
1017438|Araña||23|9|21|0
1009158|Arcade||29|20|30|2
1010686|Arcana||2|2|1|0
1009159|Archangel||561|138|622|19
1009160|Arclight||14|5|14|3
1010784|Ares||64|31|75|5
1011275|Argent||0|0|0|0
1011012|Armadillo||1|1|2|0
1011298|Armor (Hisako Ichiki)||29|12|29|0
1010827|Armory||1|1|2|1
1009740|Arnim Zola|The frail, dwarfish Arnim Zola was born in 1930s Switzerland where he became the world's leading biochemist and genetic engineer.|23|10|25|2
1010748|Arsenic||0|0|0|0
1009161|Artiee||0|0|0|0
1010718|Asgardian||0|0|0|0
1009162|Askew-Tronics||0|0|0|0
1010835|Asylum||0|0|0|0
1010336|Atlas (Team)||8|5|6|0
1011758|Attuma|Attuma was born into the tribe of Homo mermanus who eschewed civilization to live as nomadic barbarians. For some unrecorded reason, Attuma was endowed with strength far surpassing that of his people.|47|23|54|1
1009163|Aurora||83|18|95|4
1009164|Avalanche||47|20|54|7
1009165|Avengers|Earth's Mightiest Heroes joined forces to take on threats that were too big for any one hero to tackle. With a roster that has included Captain America, Iron Man, Ant-Man, Hulk, Thor, Wasp and dozens more over the years, the Avengers have come to be regarded as Earth's No. 1 team.|2109|653|2941|33
1015239|Avengers (Ultimate)||39|11|33|0
1011766|Azazel (Mutant)|A mutant from biblical times, Azazel is the ruler of the Neyaphem and claims that the Earth and everything on it belongs to him.|3|3|4|0
1011456|Balder||98|28|123|3
1009168|Banshee||181|53|205|10
1009596|Banshee (Theresa Rourke)|The daughter of former X-Men member Sean Cassidy, a.k.a. Banshee, and Maeve Rourke, Theresa Rourke was raised by her first cousin once removed, mutant terrorist Thomas Cassidy, a.k.a. Black Tom.|155|31|178|6
1011778|Baron Mordo (Karl Mordo)|Born in 1921, Karl Mordo was the son of Nikolai Mordo.  He vowed that, as the second Baron Mordo, he would achieve his father’s hopes and more.|17|9|21|1
1009169|Baron Strucker||44|19|52|1
1009170|Baron Zemo (Heinrich Zemo)||37|23|40|1
1010906|Baron Zemo (Helmut Zemo)||33|17|35|0
1011137|Baroness S'Bak||1|1|1|1
1011354|Barracuda||4|3|5|0
1009550|Bart Rozum||2|1|2|0
1009171|Bastion||37|20|37|2
1009172|Batroc the Leaper||31|16|37|0
1009173|Battering Ram||2|2|2|0
1011785|Battlestar|Lamar Hoskins was once a wrestler who was given superhuman strength by the Power Broker.|9|4|16|1
1009174|Beak||17|5|18|1
1009175|Beast||820|218|913|30
1010909|Beast (Earth-311)||0|0|0|0
1010908|Beast (Ultimate)||49|10|90|0
1009176|Becatron||0|0|0|0
1009177|Bedlam||8|6|7|0
1009178|Beef||1|1|1|0
1009179|Beetle (Abner Jenkins)||19|11|26|2
1011793|Belasco|Only the blackest of hearts would dare delve into the dark magic of the Elder Gods, but 13th Century sorcerer Belasco was of just such a heart.|2|1|4|0
1009329|Ben Grimm||46|18|67|1
1009489|Ben Parker||21|10|25|0
1011346|Ben Reilly|Ben Reilly was the most genetically stable of the many clones of Spider-Man created by Professor Miles Warren, the Jackal.|16|8|17|0
1010782|Ben Urich|Ben Urich is a reporter for the Daily Bugle who has many ties to the city's superhero community.|53|27|58|4
1010829|Bengal||9|3|10|3
1009180|Beta-Ray Bill||51|24|58|3
1011907|Bethany Cabe|Former CEO, bodyguard, and love interest of Stark Enterprises and Tony Stark.|24|4|42|0
1010325|Betty Brant||26|14|29|1
1009548|Betty Ross||70|18|118|1
1011138|Beyonder||19|10|18|2
1011296|Bi-Beast||0|0|2|0
1010843|Big Bertha||7|4|7|0
1009181|Big Wheel||2|2|2|0
1011262|Bill Hollister||0|0|0|0
